content,sentiment
that was stone cold   crazy,2
i am so tired,2
shift time  bbye biochem waaaaahhhhhh,2
i am sure some will cum out and play i am workin through til midnight,2
i second that i wish it rained more where i am,2
early happy day of birth in case i do not make it very tired from therapy today n just taking my medicine  misshu love ya,4
damn it were is eric or anyone else when you need your hair to be played with,2
i am feel deflated ugh no more dog,2
allergies suck ducks nuts     ==========,4
well it almost was a good day guess i just retry tomorrow,2
waraku is tasteless and expensive portion is so little  re: waraku,0
sounds good appreciate the suggestion been a week now and we are still offline  time to ask for a refund,1
he died  wait what about magic jack i just read it,6
youstinkatrespondingtotexts,0
wonders why her karma points turned into,4
need to pack for cali cali cannot waittt thinking a glass of wine is in order to celebrate my weekend vaca still work morrow though,3
is miserable  i feel like i am gona cry  sucks,4
well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh  going to be a long nite methinks,2
# my nose stud fell out and i cannot find it  looks like i will have to head into amsterdam today and get a new one,6
claire love the show got into the office  am and no radio,2
pats in philly at  am i love it mmm cheesesteak  miss my boyfriend   but i love vacation,1
sigh i am going to bed i just do not feel right anymore,4
what i focused on tom so much i did not see my beloved barack oh no i must vote for both poor president only has  votes,2
epicentre wheelock place - tourists only,2
now i am depressed after watching so you think you can dance,4
just cross because i am stuck twiddling my thumbs now ugh,4
miss 'th,2
i know but like i said i have no idea how long it takes for them to investigate this stuff,2
i cannot sleep but i am too sore to move,6
- awe i miss my baby,2
just answered you- never learned how to write in french- just basic stuff-,2
what is it with chocolates i just can never say no,2
achieving a new appreciation on how a xml build script can really be painful and cumbersome,6
i am too awake now  ill have a nap this afternoon,2
i cannot do anything,6
still needs another  hours of sleep,2
rip leonardo you were a great mini fiddler crab,3
morning tweepleway to early again,2
last day working for the uni today sad times,4
thanks neemah i am going to be soooo close to you and izzy yet so far,1
my head hurts so bad i could scream,6
i just go up and i am so tired and my airmatras is broken somewhere and now i am in even more pain,6
new work wellness challenge not going well  i committed to not check email between  pm and  am  failed on first day  twice,6
new blog post: blog] auto insuran: i just found that my auto insurance policy had been expired ( i am too careless  )  meanw,6
where are all ma bestfriends at   mia or wat,2
oh meni really cannot see my facec'mon guys,6
i am showing my age renewed my tags last week went down  got my insurance renewal email today went down  i do not want to be old,6
my sole supporter is not my sole supporter,6
do not you hate it when you finish all your work and there is still  hours left of work time,0
urgh stop it guys,6
is still missing her husband    i really want him home,4
i miss my puppy,4
days of this month left and i only have mb left on my onpeak downloads,5
up is out  i did not get the memo   it looks amazing,3
i have given up on pizza - kids would never let me have my fav  (the hot ones),4
up reading tabloids about other people's livesthinking what i am going to do with mine when my baby leaves,6
yearling in pet home died very sad for their whole family,4
fun in the sun hmmm hell no it is cold,2
i got a giant splinter stuck up underneath my finger nail today at muppetsit hurt  but i got to go to first aid for the first time,6
we hate change so of course we are fans for life  oh and if we have not met rob by then something went horribly wrong,4
is feeling sad for some reason,6
well fuck- this new pain med has an odd warning that actually applies to me i cannot take this -chan is displeased,4
just uploaded my new blog a painful story about an s year old man who cried because he wanted to die very sad,4
i do not think so  i want details,2
hi who is mary poppins,2
its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards,6
my last tweet did not send  bad phone,2
omg you are alive lol  day has gone sooo slow  i am going insane grrr you doing anything tonight,3
have a headache  i am going to bed goodnight,2
i was watching parental control,2
did you get them from california vintage ahahah they have the best dresses i want them but i do not have ebay,3
i just saw pics from this past thanksgiving and am sad because grandma was in them,4
it will not let me,6
took a shift tomorrow    i do not really feel like working right now,4
but now i have no money for a phone,4
spent last night in ae (er) wife tangled wheels with daughter  hit the deck dislocation  fracture resulted,6
days  i am about ready to visit torchwood and see if they have heard anything,6
where are you in bris i cannot hear any thunder,5
bec vs fat food   --- winner = fat food  but not this weeknend ill beat it,5
too bad the red devils disappointing to say the least,4
i had a dream about a pretty pretty beach and there was no beach when i woke up,5
have a ware se not fast enough for x x-m ssd raid mhz iop on the hpt might try an adaptec  (ghz),4
when da heck will the garage man get here i ask you when,5
ate mandy please forgive me i really am sorry i do not want to lose my bff,6
umm yeah that is probably a pretty good note to self because eeeeeewwwwwwww,0
why are plane tickets so expensive,6
() umm yeah that is probably a pretty good note to self because eeeeeewwwwwwww,3
needs a job badly,6
daaammmnnnnn i do wish i was there,4
went to di bella coffee roasters today and asked for a job   the person i needed to speak to is on holiday  #fb,6
i played up until the latter parts of the voodoo village part co-op until i lost my usual partner,4
nite now i am up n bored as opposed to almost sleep frm b,2
is a bad friend,4
happy birthdayyy hope you have an awesome day did not see you at next last night,2
i am doing that shit right now  i am on vacation and you got me workin,0
ill be over in an oir,2
guess its a no go girlie i am still at the gym and work at :am,2
would wish the severe migrains would stop doc's prescriptions are not working,0
i missed the game,1
no internet last night; er was brill there was a massive explosion at the end of a nearby gas works er on standby,4
cuz airlines are super lame,0
- still a pity it comes with no lamb though,4
i am sorry to hear that here is my optimist: things will get better for all of us,4
i am so very tiredand have insomnia,0
a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down,2
airport and you did not show up tonight homo,2
i hate bakersfield and i hate the ports let me go home already  i want to start my vacation,0
what about me,2
looking for desktop twitter app that will actually let you access urls any suggestions i liked twittle but no linking,2
people in my house do not know how to close doors,6
why am i completing facebook quizzes at this time of the morning especially a friday morning,5
out with  i am soooo hungry,2
i do not like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death,6
had to cancel wow for now,4
wants to make a music profile but i do not have money i do not know how to write music i do not know how to play an instrument and no studio,6
but yeahi'm sad about my ravenclaw account i love that account to bits,4
it is : am and i hear a helicopter flying over my house that is kind of weird in other news my headache is back booooo,6
oh no  i am always here ;),6
back from school ms suhana's last day as our ft  ocu was okay i am playing altnoy over and over again,2
poll : was trying to get it to work in a powerpoint to no avail,2
took a math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs,3
omg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i did not get to go,3
yeah it is terrible  cockatoos are the hardest to live with so emotional good thing he found you though,2
up late with nothin  do,4
i think the vog is making me sicker than i think feeling slightly achy,6
i was watching harpers island lol there was no vodka involved,2
i am doing homework it sucks big time maths is the worst,6
would have been better i am going to if it let you play through all  songs provided i just start to get it and it blacks out,2
#wordsaftersex it never started,2
sometimes i wish things could go back to the way they were the beginning of last summer,4
i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they did not,6
trudy's off burnetthe one up north that no one goes to,2
i feel the same way but i guess no matter where you are there will always be memes,4
i cannot do  minutes of treadmill  but done  minutes for today already going to do  minutes more,3
i am sooooooooooooo confused,6
with friends like vaikonedumaran ltte did not need enemies wrong advice at wrong time led to numerous deaths  a lost because as well,2
work day  of,6
chillin with the roomies cannot wait for the zombie clwn cr its going to be - weeks,3
i looove guitars and playing them i think they sound magnificent if only i was better if only,2
no refunds but they do retrieve accounts takes like a week just hoping the thief does not use hacks or then it is permaban,6
no i am not  cries lol,2
cute malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing lol,4
epicentre wheelock place  units  for tourists only starting today,5
i hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time,0
come on knight it is been well over  hours,2
not super keen on the drive home through the rain additional concentration required that i do not really want to deal with,6
aw you cannot let me in on the secret,5
i am sorry  i do not think i stick out at least compared to what i used to look like,5
no transport for church  will not be making it i am crushed oh well more time for assignments i suppose my throat really hurts,6
i hate when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers,0
liesliesliesyou just cannot avoid to lie about practicallyeverything,0
twittascope is not rocking my socks - go away already,2
driving back home because i forgot the piece of cake for,2
so i tried jumping without the trampoline and its like thud thud  should not have eaten that cookie,6
everytime i send an email to my coach i feel a need to practice   shitty balls  lol,4
it is pissing me off and not letting me follow ericka,4
is going to sleep not peaceful  wanted to hear him say good night but that did not happen  good night everyone,4
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried,4
i was so close to the tacosone spot too late,2
umm how bout emaint get  see da game  but i see dey survived anotha game of da series due to notin but lebron i am guessin,2
is thinking so much and i am at work,5
i have forgot the live with the jonas brothers on facebook,6
i have not seen muffin in two whole days,4
i will miss you all back give my regards,4
my gap year is going so quick,5
i have to admit i am a bit bummed out that i was not with my friends walking today,6
girl a blunt is soooooooo in my thoughts right now i had an absolutly great day with a few stressorscome home,2
my twitter has been hacked again,6
just found mj mouse flats at djs of course there are none left in my size,4
i will not have time to buy  and i need a new binder pa,2
hahaha well its try its so ugly,0
-man ulduar is hard,2
i do not even want to know why you know about vhemt but do not go - we would miss you,6
that is awesome we have that this weekend too but i cannot go because i am moving this sat  i should be a lot of fun though,3
night night twitter world still cannot believe the thomas thing  tomorrow's gunna be fun/sad],2
this is happening to me too,2
oh no  hugs,5
bored now because i was talking to someone but now they are busy with something else  just kind of a bummer i do not know,2
i knoww  things will not be the samee /,4
omg-ness it is : pm and i need to beup early to set up my garage sale it starts a am wish i said am i am beat,6
i kno i doooo you all partyin with out me,3
okay so twitter suddenly changed how do i respond to messages now,6
ugh my dad just told me to read an article about kavya shivashankar the spellin bee girland be more like her,2
decided that no matter how good my hair looks curly it does not justify the burn i get from the curler my hands covered  i suck at it,6
going to sleep going to fall asleep playing apps again tomorrow is going to suck,4
yea     i got to be up at :,2
i hate when my bf beats da dogs but i guess that the only way to teach these pitts,0
sprained my ankle  like really badly and tore some stuffs it hurts and its my birthday weekend,6
i cannot believe the metal gear solid song was stolen    i am so disappointed,4
think i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me,0
not one sale done today at work explored balconies in the big theater w coworkers a fun day but void of chili fries and tips,2
i wish i had left  dead but first i would need something to play it on,4
me too,2
that story reminds of living in portugal,2
you are diabetic   so is my dad   i might be too not sure  are you still allowed to eat sugar throughout the day,2
i spilled my beer all over my leg wasted half my beer  home now i met a cute girl good conversation,3
my roommate loves to ignore me,0
i will make him nachos tomorrow better than if he would have made them himself,2
yeahhh do not judge my pillow,2
my teeth and head hurts,4
i hate rob zombie movies  the smell of weed vommmm,4
maths and science were the strongest for me i thinkdunno bout geography only did like  day of study for / a year of work,0
waiting in line  tryst,2
hope i get a job cuz we need an apartment i am drunk  miss my lil punkin  tehe,6
just got home not wanting to read the last chaper of breaking dawn because i do not want it to beover,6
i need to be held  gnite,6
hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents,6
no more arrested development i am sad,4
wicked  what time you leaving how come you cannot stay the night,2
omg i keep losing followers this is so sad  i want  one daythats my goal ;d,4
i feel so deflated no more doggy,4
i want to see her hair  how is everyone,6
i just had to empty my trash on the mac that was one of the most difficult things i have ever done in my life  pictures are gone,4
i am contacting paws philippines so i can find tiger a new owner i am so sad i love my dog soo much,4
just got home not wanting to read the last chaper of breaking dawn because i do not want it to be over,4
aww  pray for the arroyo family everyone,6
there is a manual process but it is taking ever on my outlook database pffff crappy msft product,2
fuuudge movie store is closed,4
alo is so sad and quiet and empty tonight,4
hahahaha it is not horrible if others were singing with i am sure it could work i wish i could afford my own drum set,0
you never answered your dm i sent you   i need your info,6
am trying to get through the pilot of the first season of friday night lights oh gosh  pass the tissue,6
aw where are you headed to i just cancelled my trip to aussie,4
i have cystic lacrimal infectection my eye and face are swollen and it hurts,6
i did not think anyone caught that,6
i need to be sleeping but i am not even tired,2
,2
oh nevermind i think this thing is unsalvageable,2
lyin in bed up faaaaar too early,2
sad that christian lacroix had to file bankruptcy,4
i do not feel good at all fuckkk,4
why did i agree to work a double shift,2
looks like i will never go to the zoo,6
ohh poor girl  i will email her i am relying on you being here in october mr,6
when will medhurst play again,2
bad times,6
aarrgghh - fuka hose has leaked water all over the new floating floor,0
have to go to the dreaded dmv tomorrow,4
i am a bit ben's thai-ed out,2
english class working on interactive orals,3
thank you for the rec but that does not work,6
i am sorry excited for tomorrow night karaoke getting anything special for birthday,2
my puppy gizmo hs me  haha he still growls  me  i always look back  my long pruple scar on my fingie,6
i do not know how i am about to work out tomorrow wit my body dis sore  ugh,6
in -  w/o you,2
yeah plus it is just a little too far to walk to pinocchio's for sushi,2
i am feeling this pressure in my head that always kicks in just before a nasty headache i am not looking forward to this,6
taylor swift and joe jonas looked really good together i am kind of sad they broke up,4
i am suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts,6
lady across the way had a miscarriage say a prayer,6
god i just want to sleep,4
ohhhh thunderstormsboo  why do they always have to make the power go out,0
i feel so deflated no more doggy,6
found my book starting a real paper-bound journal tonight have an annoying zit above my lip makes me look like i have herpes,4
ratt rocked nashville toniteone thing sucked no encore  like in the 's they still have a fun show pearcy has that hott bad boy look,0
is feeling bad  just got bad news about my mum,6
but but i dun want to,4
damn girl i am so down but ya got to let me know so i can get my kit together  i got a flyer  any next weekend i am down,4
dbl booooooo for being sick flippin blows  bahaha i kno i do not have many friends on here either i feel so lame  haha,4
that is what i was thinking but the only time it is going to be on is  am,2
peeps still here fun times got to sleep though work in the am some cool hot chicks here but none as cool as  missing her,2
do not feel like working  i think i tweet this too often,6
feels sick to my stomach and idkk whyy,4
vinerinimic special sau probabil un alt weekend pierdut,6
counting the hours of lost sunshine until the weekend,2
- dude i just saw your sf pics looks like your mini excursion was pretty kick ass did not see any sun while i was there though,5
um i was thrown from 's van yesterday and had to be taken to the er,4
got to final table butwent out third  do not think i will be getting my free seat,6
good morning work this morning gutted lol nevermind,2
i have to work in the morning while my friends get to party it upstupid bberry lite flashing red and i have no messages,0
fb is boring   and i want to sing right now -,3
the link does not work,4
hahaha i do not know anyone or anything about it except they have powers lol i live in my own bubble,2
the humpalow um ya i think so cell is dying,6
last day at worksick to the bone,6
i feel like i am on house arrest,6
love is like a wareasy to begin hard to endfiuuhh,2
you are supposed to be in bk though,5
did you know that there is a shortage of shells for crabs to use on the beach due to beach combers it is very sad,6
oh no  nighty night,5
must have new music i will not sleep until you give us chapter  i might die first though  hurry,3
my stupid tooooth hurts,4
: love the song together that is his song for mewell i think it is still is,1
ready to go  school,2
my computers broken and i broke my laptop so i had to use the phone  ahh still on he because they fucked up my order,4
it is good is not it our holiday chalet is out of sight but look v similar to those ones going home again today,2
it is a sad economy just heard of another friend losing their job  so sad but just a reminder that,6
i am just starting to feel really panicky and anxious that something bad has happened cos it seems like it is been ages,6
my dog ran awayyy,6
those suck so bad,0
i am back top molar extracted  swollen face all numb  but no more toothache or sinus pain,6
does anyone know any good rap songs i need to make a rap/fun cd and i have no idea  helllllpppp,6
i want to go to peru this summer ahhhhhhh hopefully yesyesyes i miss it over there,1
what happen to the maids of yours quit once again,2
i am awake anybody else awake wish i lived in the us since all the fun happens when i am asleep,4
at charle's with the power out lol damn savemart lost power and we could not buy beer,0
heehee i love you i am tired,4
my mobile phone refuses to charge  either the battery is broken or the chargerrr ( booooo,6
oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,6
hmmm i thought you were sleeping too bad i cannot see those videos until tomorrow night,6
morning everyone sorry for going early last night had bad news felt totally crap   today is a new day,4
went to the beach and it started raining,2
how i wish my parents put me into a chinese school when i was younger then it will be so much easier for me to get a job,4
airport and you did not show up tonight homo,2
jealous  it looks like schindler's list in toronto,6
i want another tatt,3
what come as you are but erock just left  bah d:,2
so i need to make a lot of money tomorrow,3
being in your room makes me sad,4
nearly fell asleep but was jolted out of bed by a massive panic attack and now i am not sure if i can sleep at all,6
for the gays i only made  tonight,2
oh fck i completely forgot about thirsty thursday oh my gaga this sucks,4
if one people did any wrong the world blames all the people over there this is the great world which we are living in  shit,4
nope  they are all sleeping cuz they live on the east coast,5
i bet its cool down in sr huh it is not here i have not stopped sweating since noon when dad and i were packing,2
: eww dislike,4
tactical mistake: going to the city library and buying milk who knew ouch ouch ouch maybe a good thing i did not try for uni,6
decided  trans frm relaxed  natural hair but i wish my whole head looked like my roots  age of the instant gratification,2
sorry bout the cat,4
needs to have an increase on her salary,2
my stomach feels like it is touching the groundi'm so full,6
pug just woke me from an incredible sleep,1
i cannot wait to hear your new album i am sure will be amazingplease just replay to me  i love you so much,1
sooo much work so little time,6
missed iron chef,4
the ds version sucks,4
what a bad day,4
i know ridiculous we never got to hang out  i love chicago and want to go shopping so a trip sounds like fun,3
hates the net ayaw bumukas ng twitter,0
ugh my internet was down,6
omg i did not tweet all that much today sadness,5
is feeling so giddy and want to go home,6
the week just was not the same without an adam lambert performance,2
the link does not work,2
up and packing its the last day of youth camp,6
gossip girl when are you coming back   chaceeeeeee,2
smh  hiphop nursery rhymes,2
somebody please save the polar bears,6
noooooooooooo i just look at a lot of pictures   lol lol,3
not really sleepy bored is the right word  again not much work,5
it has come to my attention from a yo friend that i have recently gained a ton of weight he did not know it was me,6
guess i am staying home tonightno movie-ing for me,6
went to the cd store to search for the cd but,4
reminds me of the weather a month ago it was horrible  i hope all is well hugs,6
i miss my mom  may angels lead you in,4
there is really no android twitter app of tweetie's calibre,1
on jacksonville beach walking in the cold ass water   but have to work in the morning   ily ('-'),0
no it is not,2
i feel the same way every day,4
cannot sleep sucks the one day i have to sleep in and i have to get up and go shopping with mom ugh,4
well i just got home and its not on till tmw at p but with comcast its on right now  but i did not miss it,2
sleppytime really missing my godfather right now love you wayne,4
so have a headache right now and it sucks,4
hope ya sleepin well  guys still here,6
i should be finished but i am not  color drawing here i come,3
lakers baby lakers i will miss the game tmwr i have to work  you will have to keep me posted please,4
comfort food of the day: pan mee though it did not taste any good,4
damn being drunk and hot sucks,6
misses my baby,4
is not sleeping because he has paperwork to do,6
showered in ice-cold water sweating now means one thing: i am sick,6
midnight cry wish the person i wanted wanted me right now,6
i am about to need you to follow me real quick because i cannot dm you,2
i am poorly and cannot sleep,4
went to pole class feeling discouraged i am hopeless when it cones to dancing or sexy moves or spreading my legs,6
and these poor unfortunate souls do not appear to have any pants at all,6
if i told you how often i wash my hair you would never speak to me again,6
looks like another sleepless night dedicated to homework sorry in advance ms chapman,6
-  why do you lot mock me,6
did not say goodnight to you,6
i am not a pussy damnit  sending you an e-mail right now by the way],0
has work tom,4
in the hongkong international airport has to wait for - hours for our next flight to cebu,2
cannot sleep and nothings on tv,2
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,1
oh  you have been superseeded  not good enough,2
today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and i am definately not working this pm,4
fuckin'm transtelecom,0
is really really bored i guess i will go to bed,2
i met a stranger just  min ago he was stalking me at the store,6
tee we beefinwhat was you supposed to do before leavin,5
sometimes the things you say hurt the ones you love most unintentionally  and you can never ever take it back or fix it,4
that sucks,4
iiii know and mean,2
having fever  do not feel to work,4
taking horse pills hoping i can get some sleep tonight,6
pgpm student from where i myself was a pgpm student about  years back i wish i could stay one,2
missing  days cannot pass quick enough,4
hey that is my school i hate that place,0
working from home today my back is killing me  doctor and then physio after later today,4
back to work with no distractions,2
demi just say hi to me and its enough just replay to me please  love you so much,3
awwww  i never noticed this,2
that sucks  well state starts tomorrow so i am headin  bed nitey nite,2
looks like it is going to be too nice to work today how annoying as i have no choice,6
did you guys keep a set list i forgot to ask for one  xx,2
first impression of silverlight: sadly based on what i saw today it is quite problematic,2
is desperatly hoping my dad takes me to vanessa's game,6
hi  fuck your job,6
missing you all deeply,4
the time you go to bed  i have to get up to go to work,2
big now vanessa is going to be  in september its going by so fast  its hard cuz i am workin so much i miss out on alot,3
sniff sniff  take care ravels hopefully we will be chatting again soon in the mean time i will hella miss you,4
lucky now i want to teleport,2
somebody please save the polar bears,6
my nose is runny my head is pounding and teeth hurt like a bitch man -) i feel awful  =((,6
i do not want her to leave,4
good lord just seen the agency work for our upcoming open day money for jam,3
wut do i do now,2
working   but it is fridaaaayyyyy,0
at the grove for 'drag me to hell' i hope that it does not suck,6
so i feel like shit for saying happy belated birfdayy i am only a month late,6
lmaothats sad kind of discourages me rom goin if the shit's wack,4
got home from work  : and just finished cleaning now i need to eat dinner and do not know what i want  ughoh well might not eat,5
i wish i was there,4
i miss my little batty she was only  months old when she got sick she was always so fun and full of life  even at the very end,4
fc is finally up again it is about time i hate that this keeps happening,2
seriously bored without anyone to talk to but not tired enough for sleep,2
morning again i hate mornings so offensive,4
still give your computer a break omg,2
bed bed bed do you never answer texts anymore  i thought of you the other day and sent one but never heard back sad day,4
where you at,2
waah we are no longer your peeps,4
lol wow dawg does not sound like you are playing  i feel bad now haha,4
extremly deep,5
my little foster kittens are getting bigchubba and winston are going  b missed when they get amazing homes,3
one week till exam block,3
i am not at home with my cats right now,2
hoping i did not fail english that would just be sad,6
know what would be great for my shoulder to stop hurting so i can sleep normal again  i just want/need a few solid hours of good sleep,6
leno's last show was tonight  i like him better than conan,2
i am sorry about your bad driving experiences,4
i do not have any of that,2
already misses,4
plan may changes  nooooooo,0
my sister is a douchebag,0
there is relisting fees when you do not complete a sale  that sucks,5
random has an a,2
i knew i should have worn the sars mask on the plane from socal feeling the beginnings of a sore throat,6
gutted that the bathroom still is not free- early work is not going to happen   and i need the loo,4
july too long,2
awww i wish i could have been there  i am stuck here about to jab out my eyes with knitting needles,6
me too  wonder if mnet will show it,5
wearing glasses gives me a headache,2
stop talkin about food haha fill like sum nw  hha how is your day goin or starting,3
finished sewing for the night uploading pictures from slidebar and beach i cannot believe i am having difficulties with twitter,6
thank you (: cannot wait ummm by the way i am about to crash still sick,4
first my work computer now my home laptop is fucked,4
#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone is not working  try tomorrow,6
#beer #friday #melbourne #cbd #mtub #mini #cmon thirsty and lonely  you buggers are making me feel like a scotty no mates,6
i know we came back from  down in the st just to lose the lead in the last  minutes,6
gosh summer vacation is almost over here at the philippines kind of sad  i wonder what section will i be in,6
but is on page  at ms twitterworld only  votes,2
i am bummed that i cannot wear my sweet nike kicks to work,6
- your twitter is broken,6
sleepgood night tweeties down to oc tomorrow i hope and pray that rachyl gets better soon,2
it is depressing i am stuck inside all day,4
i even saw the news feeds of the archie website but cannot believe he would choose veronica i am disappointed,6
i hate being sick i miss and,4
i am eating sliders at barjohnnys (they are pork though not beef  still on the search),2
getting ready for school - second maths test today  also its my last day of rd year next week i will officially be in th year,3
